Sr No.,Question,Option A,Option B,Option C,Option D,Correct Answer
30,"
If Im((z - 1) / (2z + 1)) = -4, then the locus of z is a:",a. Ellipse,b. Parabola,c. Straight line,d. Circle,d. Circle
31,31. The equation (x - b)(x - c) + (x - a)(x - b) + (x - a)(x - c) = 0 has all its roots: (1 point),a. Positive,b. Real,c. Imaginary,d. Negative,b. Real
32,32. The sum of coefficients of the expansion (1/x + 2x)ⁿ is 6561. The coefficient of the term independent of x is: (1 point),a. 16 * ⁸C₄,b. ⁸C₄,c. ⁸C₅,d. None,a. 16 * ⁸C₄
33,33. The area enclosed between the curves y = x and y = 2x - x² is: (1 point),a. 1/2,b. 1/6,c. 1/3,d. 1/4,b. 1/6
34,34. The set of all rational numbers between 1 and 2 is: (1 point),a. An empty set,b. A real set,c. A finite set,d. An infinite set,d. An infinite set
35,"35. In an ellipse, the angle between the lines joining the foci with the positive end of the minor axis is a right angle. The eccentricity of the ellipse is: (1 point)",a. 1/√2,b. 1/√3,c. √2,d. √3,a. 1/√2
36,"36. If |a| = 3, |b| = 5, and |c| = 4, and a + b + c = 0, then the value of a.b + b.c is equal to: (1 point)",a. 0,b. -25,c. 25,d. None,b. -25
37,37. The equation of a line is (6x - 2)/3 = (3y - 1)/(-1) = (2z - 2)/1. The direction ratios of the line are: (1 point),"a. 1, 2, 3","b. 1, 1, 1","c. 1/3, -1/3, 1/3","d. 1/3, -1/3, 1/3","a. 1, 2, 3"
38,"38. If Y = sin⁻¹(x/2) + cos⁻¹(x/2), then the value of dy/dx is: (1 point)",a. 1,b. -1,c. 0,d. 2,c. 0
39,"39. Maximize Z = 4x + 2y, subject to 4x + 2y ≥ 46, x + 3y ≤ 24, and x ≥ 0, y ≥ 0. The maximum value of Z is: (1 point)",a. 46,b. 96,c. 52,d. None,d. None
40,"40. On one bank of a river, there is a tree. On the other bank, an observer makes an angle of elevation of 60° to the top of the tree. The angle of elevation of the top of the tree at a distance 20 m away from the bank is 30°. The width of the river is: (1 point)",a. 20 meters,b. 10 meters,c. 5 meters,d. 10√3 meters,b. 10 meters
41,41. √0.0001 is: (1 point),a. An integer number,b. An irrational number,c. A rational number,d. An imaginary number,c. A rational number
42,"42. If A = [[1/x², x/(4y)]] and B = [[-3/1, 1/0]] and adj(A + B) = [[1/0, 0/1]], then the values of x and y are: (1 point)","a. 1, 1","b. ±(1, 1)","c. 1, 0",d. None,d. None
43,"43. If tan⁻¹((1 - x) / (1 + x)) = 1/2 tan⁻¹(x), then the value of x is: (1 point)",a. 1/2,b. 1/√3,c. √3,d. 2,b. 1/√3
44,44. The number of values of k for which (log x)² - log x - log k = 0 has real roots is/are: (1 point),a. 1,b. 2,c. Infinite,d. 4,c. Infinite
45,45. The value of lim(α→0) [cosec⁻¹(sec α) + cot⁻¹(tan α) + cot⁻¹(cos(sin⁻¹ α) / α)] is: (1 point),a. 0,b. -1,c. -2,d. 1,d. 1
46,46. The value of ∫₀^(2π) [2 sin x] dx is: (1 point),a. π/3,b. -4π/3,c. 4π/3,d. -π/3,b. -4π/3
47,47. ∫₀¹⁰ |x * (x - 1)(x - 2)| dx is equal to: (1 point),a. 160.05,b. 1600.5,c. 16.005,d. None,b. 1600.5
48,48. The value of lim(x→0) (1 + sin x - cos x + log(1 - x)) / (3x) is:,a. -1,b. 1/2,c. -1/2,d. 1,c. -1/2
49,49. The equation of the tangent to the curve x²/3 - y²/2 = 1 which is parallel to y = x is: (1 point),a. y = x ± 1,b. y = x - 1/2,c. y = x + 1/2,d. y = 1 - x,a. y = x ± 1
50,"50. If |(z + i) / (z - i)| = 3, then the radius of the circle is: (1 point)",a. 2/√21,3/4,c. √21 / 2,d. √21,3/4
51,"51. Let f(x) = cos x cos 2x cos 4x cos 8x cos 16x, then the value of f'(π/4) is: (1 point)",a. √2,b. -√2,c. 2,d. -2,a. √2
52,52. Let (sin a) x² + (sin a) x + (1 - cos a) = 0. The value of a for which the roots of this equation are real and distinct is: (1 point),"a. (0, 2 tan⁻¹(1/4))","b. (0, 2π/3)","c. (0, π)","d. (0, 2π)","a. (0, 2 tan⁻¹(1/4))"
53,"53. The angle of elevation of the top of a tower from a point on the ground is 30°, and it is 60° when viewed from a point located 40 m away from the initial point towards the tower. The height of the tower is: (1 point)",a. -20√3 m,b. 20/√3 m,c. -20/√3 m,d. 20√3 m,d. 20√3 m
54,54. The summation of two unit vectors is a third unit vector. Then the modulus of the difference of the unit vectors is: (1 point),a. √3,b. 1 - √3,c. 1 + √3,d. -√3,a. √3
55,"55. A body falls freely from a point A and passes through points B and C, given that AB = 2BC. The ratio of the time taken by the body to cover the distances AB and BC is: (1 point)",a. (2 + √6) / 2,b. (2 - √6) / 2,c. (√6 - 1),d. (√6 + 1),a. (2 + √6) / 2
56,56. There is a set of m parallel lines intersecting a set of other n parallel lines in a plane. The number of parallelograms formed is: (1 point),a. m⁻¹C₂ * n⁻¹C₂,b. mC₂ * nC₂,c. m⁻¹C₂ * nC₂,d. mC₂ * n⁻¹C₂,b. mC₂ * nC₂
57,"57. If in a trial, the probability of success is twice the probability of failure. In six trials, the probability of at least four successes is: (1 point)",a. 496/729,b. 400/729,c. 500/729,d. 600/729,a. 496/729
58,"58. A force vector m**i** + n**k** is applied to a body at a point P(1, 2, 3). If the moment of the force is perpendicular to 3**i** + 5**j** + 6**k**, then the relation between m and n is: (1 point)",a. n + 3m = 0,b. n + 3m = 1,c. n + 3m = 2,d. n + 3m = 3,a. n + 3m = 0
59,59. The greatest term in the expansion of (1 + 3x)⁵⁴ where x = 1/3 is: (1 point),a. T₂,b. T₂₅,c. T₂₆,d. T₂₄,b. T₂₅
60,60. The equation of the family of curves is y² = 4a(x + a). Then the differential equation of the family is: (1 point),a. y = y'x + y² / (4y'x),b. y = y'' + x,c. y = 2y'x + y² / (y'²),d. y'' + y' + y² = 0,a. y = y'x + y² / (4y'x)
61,"61. If the Arithmetic Mean of two numbers is twice their Geometric Mean, then the ratio of the greatest number to the smallest number is: (1 point)",a. 7 - 4√3,b. 7 + 4√3,c. 21,d. 5,b. 7 + 4√3
62,62. Let x² + y² - 2x - 6y + 6 = 0 and x² + y² - 6x - 4y + 12 = 0 be two circles. Then the equation of the circle having the diameter as their common chord is: (1 point),a. 5x² + 5y² + 26x - 22y + 54 = 0,b. 5x² + 5y² + 26x + 22y + 54 = 0,c. 5x² + 5y² - 26x - 22y + 54 = 0,d. 5x² + 5y² - 26x - 22y - 54 = 0,c. 5x² + 5y² - 26x - 22y + 54 = 0
63,"63. For what value of a, f(x) = -x³ + 4ax² + 2x - 5 is decreasing for all x ∈ R: (1 point)","a. (1, 2)","b. (3, 4)",c. R,d. No value of a,d. No value of a
64,64. The common tangent of the parabolas y² = 4x and x² = -8y is: (1 point),a. y = x + 2,b. y = x - 2,c. y = 2x + 3,d. None,a. y = x + 2
65,"65. If in projectile motion, the range R is maximum, then the relation between the maximum height H and R is: (1 point)",a. H = R/2,b. H = R/4,c. H = 2R,d. H = R/8,b. H = R/4
66,66. The foci of the conic section 25x² + 16y² - 150x = 175 are: (1 point),"a. (0, ±3)","b. (0, ±2)","c. (3 ± 3, 0)","d. (0, ±1)","c. (3 ± 3, 0)"
67,67. A line passes through the point of intersection of the lines 3x + y + 1 = 0 and 2x - y + 3 = 0 and makes equal intercepts with the axes. Then the equation of the line is: (1 point),a. 5x + 5y - 3 = 0,b. x + 5y - 3 = 0,c. 5x - y - 3 = 0,d. 5x + 5y + 3 = 0,a. 5x + 5y - 3 = 0
68,"68. In r cos θ + i r sin θ, r and θ represent __________ respectively: (1 point)","a. Absolute value of modulus, argument","b. Argument, modulus","c. Modulus, argument","d. Absolute value of modulus, absolute value of argument","c. Modulus, argument"
69,69. The value of lim(x→0) (4ˣ - 1)³ / (sin(x²/4) * log(1 + 3x)) is: (1 point),a. 4/3 (ln 4)²,b. 4/3 (ln 4)³,c. 3/2 (ln 4)²,d. 3/2 (ln 4)³,b. 4/3 (ln 4)³
70,70. ∫₀³ |x³ + x² - 3x| dx is equal to: (1 point),a. 171/2,b. 171/4,c. 170/4,d. 170/3,a. 171/2
71,"71. Let a = [[1, 5], [-5, 1]] and A⁻¹ = xA + yI, then the value of x and y are: (1 point)","a. x = -1, y = 2","b. x = -1, y = -2","c. x = 1, y = 2","d. x = 1, y = -2","a. x = -1, y = 2"
72,72. A plane x + y + z = -α√3 touches the sphere 2x² + 2y² + 2z² - 2x + 4y - 4z + 3 = 0. The value of α is: (1 point),a. ± 1/√3,b. 1/(2√3),c. 1 - 1/√3,d. 1 + 1/√3,a. ± 1/√3
73,73. The solution of the differential equation dy/dx + (2x / (1 + x²)) y = 1 / (1 + x²)² is: (1 point),a. y(1 - x²) = tan⁻¹(x) + c,b. y(1 + x²) = tan⁻¹(x) + c,c. y(1 + x²)² = tan⁻¹(x) + c,d. y(1 - x²)² = tan⁻¹(x) + c,b. y(1 + x²) = tan⁻¹(x) + c
74,74. Σ (r³ - 3r) / r! from r=3 to ∞ is equal to: (1 point),a. 6e,b. 6e/2,c. 9e,d. 9e/2,a. 6e
75,"75. Let cos(2 tan⁻¹(x)) = 1/2, then the value of x is: (1 point)",a. √3,b. 1/√3,c. 1 - √3,d. 1 - 1/√3,b. 1/√3
76,"76. If sin⁻¹(a) is the acute angle between the curves x² + y² = 4x and x² + y² = 8 at (2, 2), then a =: (1 point)",a. 1,b. 0,c. 1/√2,d. √3/2,c. 1/√2
77,77. The maximum area of a rectangle that can be inscribed in a circle of radius 2 units is: (1 point),a. 8π sq. units,b. 4 sq. units,c. 5 sq. units,d. 8 sq. units,d. 8 sq. units
78,"78. If the length of the subtangent at any point to the curve x yⁿ = a is proportional to the abscissa, then 'n' is: (1 point)",a. Any non-zero real number,b. 2,c. -2,d. 1,d. 1
79,"79. ∫ (cosⁿ⁻¹(x)) / (sinⁿ⁺¹(x)) dx, n ≠ 0 is: (1 point)",a. cotⁿ(x) / n,b. -cotⁿ⁻¹(x) / (n - 1),c. -cot⁴(x) / n,d. cotⁿ⁻¹(x) / (n - 1),b. -cotⁿ⁻¹(x) / (n - 1)
80,80. The value of ∫<0xE2><0x82><0x8B>²₁ |x| / x dx is: (1 point),a. 0,b. 1,c. 2,d. 3,a. 0
81,"81. If sin(x) + sin(y) + sin²(z) = 3π / 2, then the value of x + y + z - 1 / (xyz) is equal to:",0,1,2,3,0
82,"82. Let p, q, r be the sides opposite to the angles P, Q, R respectively in a triangle PQR. If r² sin(P) sin(Q) = pq, then the triangle is:",Equilateral,Acute angled but not equilateral,Obtuse angled if sin...,Right angled,Right angled
83,"83. Let p, q, and r be sides opposite to the angles P, Q, R respectively in a triangle PQR. Then 2pr sin( (P - Q + R) / 2 ) equals:",p² + q² + r²,p² + r² - q²,q² + r² - p²,p² + q² - r²,p² + r² - q²
84,"84. Let P(2, -3), Q(-2, 1) be the vertices of the triangle PQR. If the centroid of ΔPQR lies on the line 2x + 3y = 1, then the locus of R is:",2x + 3y = 9,2x - 3y = 9,3x + 2y = 5,3x - 2y = 5,2x + 3y = 9
85,"85. If n(A) = m, then n(P(A)) (where P(A) is the power set of A) is:",2,2ⁿ,2ᵐ,2m,2ᵐ
86,"86. If f is a real-valued differentiable function such that f'(x) < 0 for all real x, then:",f(x) must be an increasing function,f(x) must be a decreasing function,|f(x)| must be an increasing function,|f(x)| must be a decreasing function,f(x) must be a decreasing function
87,"87. The number of words that can be written using all the letters of the word ""irrational"" is:",10! / (2!)^3,10! / (2!)^2,10! / 2!,10!,10! / (2!)^3
88,89. Four speakers will address a meeting where speaker Q will always speak after speaker P. Then the number of ways in which the order of speakers can be prepared is:,256,128,24,12,12
89,90. The number of diagonals in a regular polygon of 100 sides is:,4950,4850,4750,4650,4850
90,"91. Let the coefficients of powers of x in the 2nd, 3rd and 4th terms in the expansion of (1 + x)^n where n is a positive integer be in arithmetic progression. Then the sum of the coefficients of odd powers of x in the expansion is:",2³,64,128,256,128
91,92. The sum 1×1! + 2×2! + ......... + 50 × 50! is equal to:,51! - 1,51! + 1,51! × 2,None,51! - 1
92,93. Six numbers are in AP. Such that their sum is 3 and the first term is 4 times the third term. Then the fifth term is:,-15,-3,9,-4,-3
93,"94. The solution of 25 d²y / dx² - 10 dy / dx + y = 0, with y(0) = 1, y(1) = 2e^(1/5) is:",y = e^(x/5) + xe^(x/5),y = (1 + x) e^(x/5),y = (1 + x) e^(5x),y = (1 + x) e^(-x/5),y = (1 + x) e^(x/5)
94,95. Let P be the midpoint of a chord joining the vertex of the parabola y² = 8x to another point on it. Then the locus of P is:,y² = 2x,y² = 4x,x²/4 + y² = 1,x² + y²/4 = 1,y² = 2x
95,96. The line x = 2y intersects the ellipse x²/4 + y² = 1 at the points P and Q. The equation of the circle with PQ as diameter is:,x² + y² = 1/2,x + y = 1,x² + y² = 2,x² + y² = 5/2,x² + y² = 5/2
96,97. The eccentric angle in the first quadrant of a point on the ellipse x²/10 + y²/8 = 1 at a distance 3 units from the center of the ellipse is:,π/6,π/4,π/3,π/2,π/4
97,98. The transverse axis of a hyperbola is along the x-axis and its length is 2a. The vertex of the hyperbola bisects the line segment joining the center and the focus. The equation of the hyperbola is:,6x² - y² = 3a²,x² - 3y² = 3a²,x² - 6y² = 3a²,3x² - y² = 3a²,3x² - y² = 3a²
98,99. The probability of getting a 5 when one die is rolled is:,1/2,1/3,1/5,1/6,1/6
99,100. Factorial of -2 is:,0,2,-2,None,None
100,101. Laser is a device which can produce: (1 point),a. Intense beam of light,b. Coherent beam of light,c. Monochromatic beam of light,d. All of the above,d. All of the above
101,102. A magnetic needle lying parallel to a magnetic field is turned through 60°. The work done on it is W. The torque required to maintain the magnetic needle in this position is: (1 point),a. √3 W,b. (√3 / 2) W,c. W / 2,d. 2 W,a. √3 W
102,"103. A parallel plate capacitor has a capacitance of 80 x 10⁻⁶ F with air between the plates. The space between the plates is filled with a dielectric of constant 20. It's connected to a 30 V battery. If the dielectric is removed, the charge passing through the wire is: (1 point)",a. 45.6 x 10⁻³ C,b. 25.3 x 10⁻³ C,c. 120 x 10⁻³ C,d. 0.12 C,a. 45.6 x 10⁻³ C
103,"104. Four resistors A, B, C, and D form a Wheatstone bridge balanced with C = 100 Ω. If A and B are interchanged, balance is for C = 121 Ω. The value of D is: (1 point)",a. 10 Ω,b. 100 Ω,c. 110 Ω,d. 121 Ω,c. 110 Ω
104,105. The magnitude of the resultant of two forces is F. The magnitude of each force is also F. The angle between the forces must be: (1 point),a. 30°,b. 60°,c. 45°,d. 120°,d. 120°
105,"106. A primary coil has a current changing at 25 A per millisecond. If the mutual inductance is 92 x 10⁻⁶ H, the induced EMF in the secondary coil is: (1 point)",a. 4.6 V,b. 2.3 V,c. 0.368 mV,d. 0.23 mV,b. 2.3 V
106,107. The de Broglie wavelength of an electron moving at 1.5 x 10⁸ m/s is equal to that of a photon. The ratio of the electron's kinetic energy to the photon's energy (c = 3 x 10⁸ m/s) is: (1 point),a. 2,b. 4,c. 1/2,d. 1/4,d. 1/4
107,108. The maximum kinetic energy of emitted photoelectrons depends on: (1 point),a. Intensity of the incident light,b. Frequency of the incident light,c. Temperature of the photosensitive surface,d. None of the above,b. Frequency of the incident light
108,109. The half-life of Ra²²⁶ is 1620 years. The number of atoms that decay in one second in 1 gram of radium (Avogadro's number = 6.023 x 10²³) is approximately: (1 point),a. 4.23 x 10⁹,b. 3.16 x 10¹⁰,c. 3.61 x 10¹⁰,d. 2.16 x 10¹⁰,c. 3.61 x 10¹⁰
109,110. The half-life of a radioactive element is 10 hours. The fraction of the initial radioactivity that will remain after 40 hours is: (1 point),a. 1/2,b. 1/16,c. 1/8,d. 1/4,b. 1/16
110,"111. In a transistor, given that the common-base current gain (α = Ic / Ie) ranges from 20/21 to 100/101, determine the range of the common-emitter current gain (β = Ic / Ib).  ",a. 1 - 10,b. 0.95 - 0.99,c. 20 - 100,d. 200 - 300,c. 20 - 100
111,"112. Let [ε₀] denote the dimensional formula of the permittivity of vacuum. If M = mass, L = length, T = time, and A = electric current, then: (1 point)",a. [ε₀] = [M⁻¹ L⁻³ T⁴ A²],b. [ε₀] = [M⁻¹ L² T¹ A⁻²],c. [ε₀] = [M⁻¹ L² T⁻¹ A],d. [ε₀] = [M⁻¹ L⁻³ T² A],a. [ε₀] = [M⁻¹ L⁻³ T⁴ A²]
112,"113. The gravitational field in a region is E = (5i + 12j) N/kg. The change in gravitational potential energy of a 2 kg particle moved from the origin to (12 m, 5 m) is: (1 point)",a. -225 J,b. -240 J,c. -245 J,d. -250 J,b. -240 J
113,"114. The time period of a particle in SHM is 8 s. At t = 0, it is at the mean position. The ratio of the distances traveled in the first and second seconds is: (1 point)",a. 1/2,b. 1/√2,c. 1 / (√2 - 1),d. 1/√3,c. 1 / (√2 - 1)
114,115. A tension of 22 N is applied to a copper wire of cross-sectional area 0.02 cm². Young's modulus is 1.1 x 10¹¹ N/m² and Poisson's ratio is 0.32. The decrease in cross-sectional area will be: (1 point),a. 1.28 x 10⁻⁶ cm²,b. 1.6 x 10⁻⁶ cm²,c. 2.56 x 10⁻⁶ cm²,d. 0.64 x 10⁻⁶ cm²,a. 1.28 x 10⁻⁶ cm²
115,116. The total energy of a hydrogen atom in its ground state is: (1 point),a. Negative,b. Positive,c. 0,d. None of the above,a. Negative
116,"117. Water flows from a pipe of internal diameter 'D' into another pipe of the same size through 'n' holes, each of diameter 'd'. If the speed in the first pipe is 'V', the speed leaving the second pipe is: (1 point)",a. (D² V) / (n d²),b. (n D² V) / d²,c. (n d² V) / D²,d. (d² V) / (n d²),a. (D² V) / (n d²)
117,"118. When a liquid is heated in a copper vessel, its apparent expansion coefficient is 6 x 10⁻⁶ °C⁻¹. In a steel vessel, it's 24 x 10⁻⁶ °C⁻¹. If the linear expansion coefficient for copper is 18 x 10⁻⁶ °C⁻¹, the linear expansion coefficient for steel is: (1 point)",a. 6 x 10⁻⁶ °C⁻¹,b. 12 x 10⁻⁶ °C⁻¹,c. 36 x 10⁻⁶ °C⁻¹,d. 42 x 10⁻⁶ °C⁻¹,b. 12 x 10⁻⁶ °C⁻¹
118,"119. When the temperature of a body increases from T to T + ΔT, its moment of inertia increases from I to I + ΔI. If α is the linear expansion coefficient, then ΔI / I (neglecting higher orders of α) is:",a. αΔT,b. 2αΔT,c. ΔT/α,d. 2α/ΔT,b. 2αΔT
119,120. The work done to increase the temperature of one mole of an ideal gas with V ∝ T^(2/3) by 30°C (R = 8.314 J/mol/K) is:,a. 116.2 J,b. 136.2 J,c. 166.2 J,d. 186.2 J,c. 166.2 J
120,"121. A black body at temperature T₁ radiates power P and maximum energy at λ₁. If the temperature changes to T₂, radiating maximum energy at λ₁/2, the power radiated at T₂ is:",a. 2P,b. 4P,c. 16P,d. 6P,c. 16P
121,122. Which of the following has the highest energy photon?,a. Visible light,b. X-rays,c. Ultraviolet rays,d. Gamma rays,d. Gamma rays
122,123. What is the minimum energy required to launch a satellite of mass m from the surface of a planet of mass M and radius R into a circular orbit at an altitude of 2R?,a. 2GmM / 3R,b. GmM / 2R,c. GmM / 3R,d. 5GmM / 6R,d. 5GmM / 6R
123,"124. When the engine is switched off, a vehicle of mass 'M' moving on a rough horizontal road with momentum P comes to rest due to friction (coefficient μ<0xE2><0x82><0x96>). The distance traveled before rest is:",a. P² / (2 μ<0xE2><0x82><0x96> M² g),b. 2 μ<0xE2><0x82><0x96> M² g / P²,c. P² / (2 μ<0xE2><0x82><0x96> g M),d. P² M² / (2 μ<0xE2><0x82><0x96> g),c. P² / (2 μ<0xE2><0x82><0x96> g M)
124,"125. A projectile is given an initial velocity of i + 2j (i along ground, j vertical, g = 10 m/s²). The equation of its trajectory is:",a. y = 2x - 5x²,b. 4y = 8x - 20x²,c. 4y = 2x - 25x²,d. y = x - 5x²,a. y = 2x - 5x²
125,126. The escape velocity from Earth's gravitational field depends upon:,a. Rotation of Earth,b. Mass of the body,c. Radius of Earth,d. Mass of Earth,c. Radius of Earth
126,"127. If Earth is a sphere of radius R and mass M, its angular momentum about its rotation axis with period T is:",Option 1,Option 2,None,,Option 1
127,128. The velocity ‘V’ reached by a car of mass ‘m’ at a certain distance from the starting point driven with constant power ‘P’ is such that: (1 point),a. V ∝ (P/m)^(1/3),b. V² ∝ (P/m)^(1/3),c. V³ ∝ (P/m),d. V ∝ (P/m)²,a. V ∝ (P/m)^(1/3)
